meaning_ru,id,Bagvalal (Magomedova 2004),Bagvalal (Magomedova 2004) bor,"Botlikh (Saidova, Abusov 2012)","Botlikh (Saidova, Abusov 2012) bor",Godoberi (Saidova 2006),Godoberi (Saidova 2006) bor,"Karata-Tukita (Magomedova, Khalidova 2001)","Karata-Tukita (Magomedova, Khalidova 2001) bor",Botlikh (Alekseev 2006),Botlikh (Alekseev 2006) bor,"Akhvakh (Magomedova, Abdulayeva 2007)","Akhvakh (Magomedova, Abdulayeva 2007) bor",Andi (Salimov 2010),Andi (Salimov 2010) bor,"Tokita (Magomedova, Khalidova 2001)","Tokita (Magomedova, Khalidova 2001) bor",Chamalal (Magomedova 1999),Chamalal (Magomedova 1999) bor,Tindi (Magomedova 2003),Tindi (Magomedova 2003) bor,n_languages
выбрасывать,1,,,,,,,Т|АМ/АЛЪА',native,,,тIо̄'нулъIа,native,,,,,БЕ́ГЪЛА,native,,,3
выброс,1,,,ссу́рдар,native,,,,,,,тIа'ме,native,,,,,,,ТIАНÁР,native,3
выбросить,1,,,б/ил/а́й,native,ХЬВАРХЬВАСÁ : ХЬВАРХЬВАСА БИГЪАЛУ АЧЧАХЪИ ЛЪЛЪЕ-ХЪУ,native,,,б=ила́й,native,,,,,,,,,,,3
вывертывание,1,ГЬАᴴД́ИБУГЬАЛАР,native,,,,,,,,,бо'ъос̄орайе,native,,,,,,,С̅ВÁРАЛАР,native,3
вывих,1,Б/́УХIАР,native,,,,,,,б=о́рчIир,native,,,,,,,,,Б/У́ТАР,native,3
вывихнутый,1,,,жинкьида́/б,native,КIЯТАМУ́,native,Ч¯|ВА'РО/Б³,native,,,,,,,,,,,,,3
выводить (птенцов),1,Б/УГЬ́УГЬУ/ЛА¹,native,,,Б/УХИ́,native,,,,,б/ехъу'/рулъIа,native,,,,,,,,,3
выгода,1,ХАЙ́ИР/ХАЙР,arab,,,ХАЙИ́Р,arab,,,,,муᴴка'гIалъе,arab,,,,,,,,,3
выдающийся,1,КЪ́УТIБУ,arab,,,,,,,,,хъи'тIада/б/е,native,,,,,,,Ч̅ВÁЛУ/Б,native,3
выделяться,1,Б/̄́ЕЛА,native,,,,,,,,,б/екъIу'/рулъIа,native,,,,,,,Б/ḖЛЪ’А,native,3
выдергивать,1,,,бу́щ/и,native,,,,,,,чIону'/рулъIа,native,,,,,,,Б/У́Щ/ИЛЪ’А¹,native,3
выдержанный,1,КЬАᴴТIÁ/Б,native,сса́брулълъи,arab,,,,,сса́брулъи,arab,,,,,,,,,,,3
выздоровление,1,Б/ИТÍИЛГЬАР,native,ча́дир,native,,,,,,,гьи'йеᴴ,native,,,,,,,,,3
вызывать,1,Б/ÁЛ̄АЛИ/ЛА,native,,,,,БАК|АРА¯'/ЛЪА,native,бе́ди,native,,,,,,,,,,,3
вызывать чиханье,1,ХÍИМЧИДА/ЙЛА,native,,,,,,,,,,,,,,,ГIИ́ЧАДА̅ЛА,native,ЭЧУ́Й/ĀЙЛЪ’А,native,3
выигрывать,1,Б/́ИШИ/НА,native,ниш/и́,native,,,,,,,б/ишу'/рулъIа,native,,,,,,,,,3
выкинуть,1,,,ссурд/а́й,native,,,,,ссурдай,native,,,,,,,,,ТIÀᴴЙЛЪ’А,native,3
выкинуть плод,1,РÉЛГЬАX̄И/ЛА,native,репахх/и́,native,,,,,,,тIо̄'нулъIа,native,,,,,,,,,3
выкраивание,1,ЭКIВ̄́ЕР,native,,,,,,,,,кьекIу'райе,native,,,,,,,ЧIЕТВÁР,native,3
выкуп,1,МАГЬÁРИ,arab,,,,,МА'ЗА,native,,,ма'за,native,,,,,,,,,3
выманивать,1,,,,,,,БАХЪАᴴХЪА¯'/ЛЪА¯,native,,,б/атIу'/рулъIа,native,,,,,,,Б/У̀X̅/ИᴴЛЪ’А,native,3
выматываться,1,ТÁБАЛГЬИ/ЛА,native,,,,,,,,,та̄'лъу/рулъIа,native,,,,,,,ТÁБАЛЪ/ИЛЪ’А,native,3
вымогать,1,,,,,,,,,б=орчIа́й,native,кьару'/рулъIа,native,,,,,,,Ч̅Ā́ЙЛЪ’А,native,3
вымокать,1,́ЭХЪИ/НА,native,,,,,,,,,,,,,,,КIАТIАРА,native,Э̀ХЪ/ИᴴЛЪ’А,native,3
выносить,1,КЪОХIЕХЬĒДИ/ЛА,native,,,,,,,,,хIе'тIило̄/рулъIа,native,,,,,,,КЪÓХIЕХЬ/ĒЛЪ’А,native,3
выносливость,1,,,,,,,,,ба́рлIир,native,жо'чIаме,native,,,,,,,КЪВÁКIИЙАР,native,3
выпадать (об осадках),1,Б/̄́ЕЛА,native,,,Б/АИ́,native,,,,,,,,,,,,,Б/ḖЛЪ’А,native,3
выполнять,1,ТIОБÓЙДА/ЙЛА,native,,,ТIУМАГЬИ́,native,,,,,тIуба'лу/рулъIа,native,,,,,,,,,3
выпрямление,1,Б/АЧАЧВÁЛАР,native,,,,,,,битIа́йр,native,,,,,,,,,Б/И́ТIИЙАЛАР,native,3
выпускать,1,,,б/ешт/и́,native,,,,,,,о/ту'рулъIа,native,,,,,,,Б/ЕЩД/ИЛЪ’А,native,3
выпячивание,1,,,,,ХЪИТIИ́Н,native,,,,,жукьайе,native,,,,,,,ХЪИ́ТIИЙАЛАР,native,3
вырастать,1,,,,,Б/ОИ́ᴴ,native,,,,,б/олIу'/рулъIа,native,,,,,БУ́ЪНА,native,,,3
выросший,1,,,б/ижа́/б,native,Б/ИЖАМУ́,native,,,б=ижа́=б,native,,,,,,,,,,,3
вырываться,1,,,б/о́рчI/и,native,,,Б/АХЪ/А¯'ᴴЛЪА,native,,,б/о'чIило̄/рулъIа,native,,,,,,,,,3
высевки,1,СИС́ИН,native,,,,,,,,,шу'шу,native,,,,,,,СУ́СУР/СУ́СУ,native,3
высиживать,1,,,,,,,,,ансса́й,native,,,,,,,ХИНА̅ЛА,native,Б/УЧI/Ā́ᴴЙЛЪ’А,native,3
высказывание,1,,,,,,,,,гьикьи́р,native,э'кье,native,,,,,,,КI’ĀР,native,3
высокий,1,Б/ЕX̄АЛÁ/Б,native,,,,,,,гьи́рцIи,native,,,ГЬИРЦӀИ,native,,,,,,,3
высокомерие,1,ПÁХРУ,native,,,ПÁХУРУЛЪИ,native,,,,,къе̄'да,native,,,,,,,,,3
выступ,1,,,,,,,,,хъи́нци,native,хъи'тIе,native,,,,,,,КIÓЦА,native,3
высший,1,,,тIа́дегIана/б,native,ТIÁДЕГIАНА/Б,native,,,,,,,,,,,ТIАДИГIАНАБ,native,,,3
вытирать,1,,,лIулIад/и́,native,ЛIУЛIАБИ́,native,,,,,,,,,,,,,К̅’ÁК̅’/ĀᴴЙЛЪ’А,native,3
выходить замуж,1,,,маᴴи́//маи,native,МУНИ́,native,,,,,,,,,,,,,Б/ЕЛIИЛI/И́ЛЪ’А¹,native,3
вычесывание,1,ХЪ́УНАР,native,,,,,,,,,хъва'не,native,,,,,,,ХЪВИНÁР¹,native,3
вышивание,1,КЪ́ИНАР,native,,,,,,,ма́кIкIватар,native,,,,,,,,,КЪЍНАР,native,3
вышивать,1,КЪ́ИНИ/ЛА,native,,,,,,,,,къинегу'рулъIа,native,,,,,,,КЪӢ̀ᴴЛЪ’А/КЪЍНИЛЪ’А,native,3
выщипывать,1,,,,,,,,,,,чIону'/рулъIа,native,,,,,БЀХВАХВЛА,native,ЛЪАЛЪ/Ā́ᴴЙЛЪ’А,native,3
выявление,2,ТIÁТИДАЛАР,native,,,,,,,,,кьIа'тайе,native,,,,,,,ТАЪÁР,native,3
выявлять,2,ТIÁТИДА/ЙЛА,native,загьир/а́й,arab,,,,,,,,,,,,,АТИТА̅́ЛА,native,,,3
выявляться,1,,,,,ЗАГЬИРЛЪИ́,arab,,,,,загьи'лъило̄/рулъIа,arab,,,,,,,ЗАГЬИ́РЛЪ/ИЛЪ’А,arab,3
вьюнок,1,АХЪ́ИЛ,native,,,АХЪИ́Л,native,АХЪАЛА',native,,,,,,,,,,,,,3
вьючное животное,1,ХЬВАН,native,,,,,,,,,,,,,,,ХЬВАН,native,К̅ВÁНИ,native,3
вьючное седло,1,ГЪАЕ́ИБУР,native,,,,,,,,,,,,,,,КЬИКЬИ́Л,native,КЬЕКЬÁЛ,native,3
вяз,1,,,,,МУРШ/И́,native,БОТ|ИЛ,native,,,,,МЕРЧЧИ,native,,,,,,,3
вязнуть,1,ТĪ́Е/ЛА¹,native,къинд/и́,native,,,,,,,къину'/рулъIа,native,,,,,,,,,3
вяленый сыр,1,,,чIарчIа́/ну,native,,,Ч|АИТ|У'Р,native,,,,,,,,,,,ГЬÁКI’ИЛIА,native,3
гавкать,1,,,,,,,,,,,хIа'гьурулъIа,native,,,,,ХIАПУНА,native,ГIÁВ/ӢЛЪ’А,native,3
Галбац,1,,,,,ГЪÁЛБАЦI/И,native,,,,,,,,,,,ГЪА́ЛБАЦI,native,ГЪÁЛБАЦI/И,native,3
галоша,1,,,кало́ш,rus,,,,,,,,,ЭТЕККИ,native,,,ЙЕЗИᴴК,native,,,3
где бы ни,1,́ИНДЖИ/Б/УКIАЙРАЛА,native,,,И́ЙАХЪИ,native,,,,,,,,,,,ИКЬАᴴ,native,,,3
где попало,1,́ИНДЖИ/Б/УКIАЙРАЛА,native,,,,,,,,,гьу'дегьаде,native,,,,,ИКЬАᴴЛIА-БУКIАБЕДАХЪ,native,,,3
где-нибудь,2,,,инухва́лла,native,,,,,,,гьаги'лIи/б/икIва̄ла,native,,,,,ИКЬАᴴ-БУКIА̅ДАЛА,native,,,3
генерал,1,ГИНИРÁЛ,rus,ина́рав,native,,,,,ина́рал,native,,,,,,,,,,,3
гибнуть,1,ПАНÁЛГЬИ/ЛА,native,,,,,,,риъи́,native,б/икьIу'/рулъIа,native,,,,,,,,,3
глотка,1,,,,,,,,,къва́нкъватIир,native,ма'къала,native,,,,,,,КЪВÁᴴКЪВАЛА,native,3
глуповатый,1,,,,,,,,,,,хамада/б/е,native,МАГЬИ,native,,,,,ГIАЙАЛУМÁХIА/Б,native,3
глыба,1,ÁНЧ/А,native,,,,,,,,,цĪаба,native,,,,,,,ÁᴴЧУ,native,3
гневный,1,̄СИМИX̄́У/Б,native,,,,,,,,,с̄и'малах̄ва̄да/б/е,native,,,,,,,С̅ИМАX̅У́/Б,native,3
гноение,1,ТÓРДАЛАР,native,,,,,,,,,тура'йе,native,,,,,,,ТОРДÁЛАР,native,3
гнутый,2,Д́ИНАЛУ/Б,native,,,,,,,щи́рдаб,native,микIи'кIа̄/б/е,native,,,,,,,,,3
гнуться,1,,,,,,,Б/АК|/А'ᴴЛЪА,native,,,микIикIу'/нулъIа,native,,,,,,,ХВИХВ/Ӣ́ᴴЛЪ’А,native,3
говяжий,1,,,,,ХIАЙПАНУ́ЛIИ,native,Х|ВА'НИЛ|,native,,,хIема̄'лIи,native,,,,,,,,,3
годный,1,,,,,,,,,бе́гьиха=б,native,,,ГЪЕРДИ,native,,,,,МАГIНḖЛIА,arab,3
головка (чеснока),1,,,,,,,ГЬА'ДОЪА,native,,,хо'ро,native,,,,,УН¹,native,,,3
голод,2,,,ра́къир,native,РÁКЪИ,native,,,,,,,,,,,,,РÁКЪИ,native,3
гончарный сосуд,1,,,,,,,,,,,гьаᴴде'жа,native,,,,,СIОЛ,native,ХЪÀПА,native,3
гоп,1,,,гьарсс,native,ГЬАРСС,native,,,,,,,,,,,ВОПI,native,,,3
горбатость,1,КЪ́УЕИДАР,native,,,,,,,,,къу'ле,native,,,,,,,КЪУ́ЛИЙАР,native,3
горбыль,1,ХЪÉЧI/А,native,,,,,,,,,,,,,,,ХЪЕЧIВ,native,ХЪÁЛИ,native,3
гореть,2,ЦIАГЬÁГЬИ/ЛА,native,,,ЦIАТИ́,native,,,,,,,,,,,,,ЦIАГЬ/ÁГЬИЛЪ’А,native,3
горкнуть,1,БУКЬ́УЛГЬИ/ЛА,native,,,,,,,,,б/ашалъу'/рулъIа,native,,,,,МИГЬУЛЪЛА,native,,,3
горловина,1,,,гъе́л/и,native,ЭЛЛ/И́,native,,,,,,,,,,,,,ЭЛИ,native,3
горох,1,,,гьа́ли,native,,,,,гаро́х,native,,,ГЬОЛИ,native,,,,,,,3
горский,1,,,бе:лессуб,native,МАГIÁРУЛ,native,МАГ|АРУ'Л,native,,,,,,,,,,,,,3
горский палас,1,ЧАᴴС,native,,,,,КА'СЕ,native,,,,,,,,,,,ÁЛА¹,native,3
горсть,1,,,хъа́ти,native,,,,,хъа́ти,native,,,,,,,,,РÁЗИ,native,3
горянка,1,,,магIа́рулай,native,МАГIÁРУЛ/Е,native,МАГ|А'РУЛАЙ,native,,,,,,,,,,,,,3
"господи, помилуй",1,,,,,АСТŌВПИРУЛЛАГЬ,arab,,,,,ас̄та'впирул̄а,arab,,,,,А́С̅ТО̅ПИРУЛ̅АГЬ,native,,,3
Господь,1,РÁ̄БИ,arab,рабби́,arab,РÁББИ,arab,,,,,,,,,,,,,,,3
гребок,1,РЕГÍИН/РЕГIÉН,native,,,,,РЕ'ЪИН,native,,,,,,,,,ЙАЛВГЪОДАЛАБ,native,,,3
грех,2,,,,,,,,,,,хIакъе',native,,,,,ХIАКЪ¹,native,ХIÁКЪИ¹,native,3
греховный,1,МУНÁГЬИЛЪ,native,,,,,,,муна́гьлIи,native,,,,,,,,,МУНÁГЬИЛIА,native,3
гром,1,ГЪÓДАР,native,хуху́дир,native,,,,,,,,,,,,,,,ГЪВĀР¹,native,3
громкий,1,,,кута́ка/б,native,КУТÁКЯ/Б,native,,,,,,,,,,,КУТАКАБ,native,,,3
грудь,2,,,,,НИ́ХИ,native,НИХЕ',native,,,,,,,,,НИХ,native,,,3
грузчик,1,,,хIамба́л,arab,ХIАМБÁЛ,arab,,,,,хIамала',arab,,,,,,,,,3
грыжа,1,,,,,,,,,къоркъо\л,native,,,,,,,КЪУ,native,Ц̄ЕЛИ́ТIАНАР,native,3
гудеть,1,ЗВÁ̄НДИ/ЛА,native,руру́да/лъи,native,,,,,зу́йе:ла\лъи,native,,,,,,,,,,,3
гурия,1,ХIУР́УЛГIИН,native,,,ХIУРУ́ЛГIИН,arab,,,,,хIуруᴴгIи',arab,,,,,,,,,3
густой,1,,,,,Б/ЕКЪУ́,native,,,бе́къвалъи,native,,,,,,,,,КЪВАРÁ/Б,native,3
да ну,1,ГЬАᴴ,native,гъари́м,native,,,,,,,гьаᴴ,native,,,,,,,,,3
"да, так",1,,,,,,,Уᴴ,native,,,уᴴ,native,,,,,,,Уᴴ,native,3
"да, я",1,ЙĒ,native,,,ВОЙ!,native,,,,,,,,,,,ЙЕВ,native,,,3
давать,2,ИЧ́ИЧИ/ЛА,native,икки́//кки,native,,,,,,,,,,,,,,,ГÓГ/ĀЙЛЪ’А,native,3
дагестанцы,1,,,дагъистани́йал,native,ДАГЪИСТАНИЙА/Л,native,,,дагъиста́налъи ба́ла,native,,,,,,,,,,,3
даже,1,–ДАЛА,native,,,,,,,,,,,,,,,ДА̀ЛА,native,-ЙĀ,native,3
далее,1,ЭКÍУ/Б,native,,,,,,,б=еху́тIу,native,,,,,,,,,ГЬЕКIУЛЪУ́/Б,native,3
дама,1,МАТ́УШКА,rus,,,,,,,,,,,,,,,МАТУШКА,native,МАТУ́ШКА,native,3
дань,1,,,магъа́лу,native,,,,,магъа́лу,native,магъа'ло,native,,,,,,,,,3
даргинец,1,,,гIахъуши́лъи,native,,,Ц|Е'ДЕХ|А/В,native,,,гIахъу'щалилIи/в/е,native,,,,,,,,,3
даргинка,1,,,,,ГIÁХЪУШАЛИЛIИ,native,Ц|Е'ДЕХ|А/Й,native,,,гIахъу'щалилIи/й/е,native,,,,,,,,,3
даргинцы,1,,,,,ГIÁХЪУШАЛИД/И,native,Ц|ЕДЕХ|АБДИ,native,,,гIахъущали'до,native,,,,,,,,,3
даром,2,,,гьа́лада,native,,,,,гьа́лада,native,,,,,,,,,КИРИ́ХЪА,native,3
дары природы,1,,,,,НИГIМÁТ/И,arab,,,,,,,,,,,НИПМАТ,native,НИГIМÁТИ,arab,3
дать пощечину,1,,,,,,,АДЕ'Р,native,,,ча'хъо̄/рулъIа,native,,,,,,,БĀ́ХАЛĀХЪА,native,3
дверное кольцо,1,КI’ИЛ́ИКIА’А,native,,,,,,,,,кIили'кIа,native,,,,,,,КI’ИЛИ́КI’А,native,3
двинуться,1,,,,,КЬАННИ́,native,,,къи́нди // къинди́,native,,,,,,,БАГЪА-БАЧА́РИ̅ЛА,native,,,3
двое,1,,,,,,,К|ЕНА'Й,native,,,кIеми'ди,native,ЧӀЕЛГУ,native,,,,,,,3
двукратно,1,,,кIе́дамикъиди,native,КIÉДАМИКЪИЛIИ,native,,,,,кIетIу'билъ̄иге,native,,,,,,,,,3
двухгодовалый,1,,,кIе:лъассу/б,native,КIĒЛЪИССУ,native,,,,,,,,,,,,,КЪАРУБṒ/Б,native,3
двухлетний,1,ЧĪ́ИЛА/Б,native,,,,,К|ЕЛА'/Б,native,,,кIе'лилIи,native,,,,,,,,,3
девятьсот,1,,,,,,,,,,,апIешано'да,native,ГЬОЧӀОБЕШЕНУГУ,native,,,,,ГЬАЧIВÁЙАБЕГЬАН,native,3
дед,1,,,,,,,,,,,и'ма,native,,,,,ГО́ШЕ̅МА,native,ГЬИᴴКI’ḖМА,native,3
дедушка,1,,,вечIу́хаим/а,native,ВОЧIУ́ХАИМ/А,native,ГЬЕРК|А'ЙМЙ/А,native,,,,,,,,,,,,,3
делать крупным,1,Б/ИШ̄́И/ЛА,native,,,,,,,,,б/ише'ро̄/рулъIа,native,,,,,ГВА́ᴴЗАГЬЛА,native,,,3
делать передышку,1,,,,,,,,,,,лъахъе'ло̄/рулъIа,native,,,,,ГЬИНА̅́ЛА,native,ГЬВАН/Ā́ЙЛЪ’А,native,3
делегат,1,ДЕЛЕГÁТ,rus,,,ДЕЛЕГÁТ,rus,,,дилига́т,rus,,,,,,,,,,,3
делегация,1,,,делега́ций(а),rus,ДЕЛЕГÁЦИ(ЙА),rus,,,дилига́ци,rus,,,,,,,,,,,3
деликатный,1,УЗДÁНА/Б,native,,,,,,,хIа́лимав,arab,,,,,,,,,УЗДÁНА/Б,native,3
дело,1,АЛГЬÁН¹,native,,,,,,,иш,native,,,,,,,АᴴЛЪ,native,,,3
демонстрировать,1,ГЬÁ̄НИ/ЛА,native,гьагъ/а́й,native,ГЬААЛИ́,native,,,,,,,,,,,,,,,3
дергание,1,,,ту́ркIи,native,ТУ́РКIИ,native,,,,,,,ТУРКӀЕШОР,native,,,,,,,3
дергаться,2,,,,,КIЯ́НЦIАЦIИ,native,,,,,ту'кIу/рулъIа,native,,,,,БЕ́ГЪАГЪИ̅ЛА,native,,,3
деревянный гвоздь,1,,,,,,,,,,,аᴴкIва',native,,,,,АᴴКВ,native,ЩУ́ᴴКI’А,native,3
держать в страхе,1,,,,,,,,,,,гъегъеро̄'/рулъIа,native,,,,,ГЕРДА̅́ЛА,native,ГИГИГЬ/Ā́ЙЛЪ’А,native,3
дернина,1,,,,,,,ЪО'МЕР,native,,,,,,,,,УМЕ,native,БУЛУ́ЛА,native,3
десятеро,1,,,,,,,ГЬАЦ|А'Й,native,,,ачIе̄'ди,native,ГЬОЦӀОЛГУ,native,,,,,,,3
десять,2,,,гьацIа́лъи,native,ГЬАЦIАЛЪИ́,native,ГЬА'Ц|АЛ,native,,,,,,,,,,,,,3
деятель,1,,,,,,,,,,,хIа'лтIухъа,native,,,,,ХIАЛТIУХЪАᴴ,native,ХIАЛТIУ́ХЪАН,native,3
Дибир,1,,,,,ДИБИ́Р,arab,,,,,ди'би,arab,,,,,,,ДЍБИР,arab,3
дизентерия,1,,,биххати́р,native,,,,,,,чIалIирокьIе,native,,,,,,,ЧIĀ́РЛIАУᴴТИ,native,3
дикий козел,1,ЧАНÁ̄С̄IЕНЕЛЪ,native,,,ГIАЛХУ́ТIУКЯ,native,,,,,,,,,,,ЛЪУᴴКА,native,,,3
директорство,1,,,дере́кторлъи,rus,ДЕРÉКТОРЛЪИ,rus,,,дире́кторлъи,rus,,,,,,,,,,,3
дисциплинированный,2,ТАДБ́ИРА/Б,arab,,,,,,,,,,,,,,,ТАДБИ́РЧIАНИС,native,ТАДИБИ́РА/Б,arab,3
дитя,1,,,,,,,,,,,а'ц̄и,native,,,,,МАЧI,native,БÁЛЪ’А,native,3
до,1,,,,,ДИ,native,,,,,бекъIала'къIо,native,,,,,БИ̅ЛО́,native,,,3
до конца,1,ГIÉРĀ–ГЬИКЬĀ:ГIЕРĀ–ГЬИКЬĀ Б/ÁЦIАВО,native,,,,,,,булIиде́ра,native,,,,,,,,,БАЛИХАБÁЦIАЛО,native,3
до отвала,1,БАКЬБÉТIУЛ,native,,,,,,,,,,,,,,,БАКЬБАТIВЛО̅́,native,АХṒШĒЛЪО,native,3
до отказа,1,,,гъу́но,native,ЗАНКIУДУ́,native,,,бе́гъу-ме́рхьу,native,,,,,,,,,,,3
до утра,1,,,ахакьуссу́йдера,native,РАХАКЬИЛЪĒДИ,native,,,,,,,,,,,,,РАХḖЧ̅УГЬИЛО,native,3
добро пожаловать,1,ГЬŌ/Б/АГЬВА/Б/É,native,,,,,,,,,,,МАРГЬАБА,arab,,,ГЬО̅БА̅БИ́,native,,,3
доверие,1,,,,,БУЖИ́ЛЪИР,native,,,бу́жир,native,бу'жве,native,,,,,,,,,3
доводить до онемения,1,Ш́УШАX̄А/ЙЛА,native,,,ЗУᴴЗУХХАБУ́,native,,,,,,,,,,,,,ШУ́ШАX̅ĀЙЛЪ’А,native,3
догадливый,1,,,вехутIугъвандо́в,native,,,,,гъва́ндихо,native,хъIедо'къIвиᴴда/б/е,native,,,,,,,,,3
доктор,1,ТÓХТУР,rus,,,,,,,,,то'хторо,rus,,,,,,,ТОХТУ́Р,native,3
докучать,1,ЧIАМ́УЧIДЖ̄ИЛА,native,чIаргI/а́й,native,,,Ч|АЛГ|А¯'ᴴ/ЛЪА,native,,,,,,,,,,,,,3
долбить,1,БАТIВÁТI/УЛА,native,,,Б/АТIИ́,native,,,,,,,,,,,БА̀ТIВЛА,native,,,3
долг,2,НÁЛГЬИ,native,,,НÁЛЪИ,native,,,,,,,РЕГЕЛ,native,,,,,,,3
должник,1,,,на́лъула/в,native,НÁЛЪУЛА/В,native,,,на́лъулав,native,,,,,,,,,,,3
должность,1,ХЪУЛ́УХЪ,native,,,,,,,,,хъулу'хъи,native,,,,,ХЪУЛУХЪ,native,,,3
должность аульского старшины,1,,,,,БЕГÁВУЛЛЪИ,native,БЕГАВУЛЛЪЕ'Р,native,,,бего̄'лъе,native,,,,,,,,,3
долото,1,ÁЗАЛ,native,,,,,,,,,ажа',native,,,,,А̀ЗАЛВ²,native,,,3
долька легкого,1,ГЬАᴴЧÍИТIА,native,,,,,,,,,лъIарес̄е,native,,,,,,,ГЬАᴴКI’И́ТIА,native,3
домашний,1,,,ишхъе́ссу/б,native,,,,,гьа́нкъессуб,native,,,ИШУССИ,native,,,,,,,3
домино,1,ДАМИНÓ,rus,,,ДАМИНÓ,rus,,,домино́,rus,,,,,,,,,,,3
домогаться,1,ТIЕТIÁЩИ/ЛА,native,,,,,КА'ЪАЛЪ/АЛЪА,native,,,кьIада'лъу/рулъIа,native,,,,,,,,,3
домой,1,,,ишхъа́,native,,,,,гьа́нкъа,native,,,ИШБА,native,,,,,,,3
дополнительный,1,,,сунна́таб,arab,СУНÁТАБ,arab,,,,,с̄у'натада/б/е,arab,,,,,,,,,3
допрашивать,1,АНАX̄Á/ЙЛА,native,,,,,,,,,б/аъо̄'/рулъIа,native,,,,,ГУЛ̅А̅́ЛА,native,,,3
допускать недостачу,1,,,,,КЯ́НЛЪАЛИ,native,,,,,б/ито̄'/рулъIа,native,,,,,КАМДА̅ЛА,native,,,3
дороговизна,1,,,ххира́лъир,native,ХХИРÁЛЪИ(Р),native,,,ххира́лъир,native,,,,,,,,,,,3
дорогой,1,,,,,ХХИРИ́ЙА/Б,native,,,ххира́,native,,,,,,,ХИ́РАБ,native,,,3
доставание,1,Б/ÁТИДАЛАР,native,,,,,,,,,б/екъIе',native,,,,,,,Б/ÁЦIАР¹,native,3
достигание,1,Б/ÁЦIАР²,native,,,,,,,,,б/екъIе',native,,,,,,,Б/ÁЦIАР¹,native,3
достоверность,1,,,кьу́чIчIар,native,КЬУЧIЛЪИ́Р,native,КЬУЧ¯|Е',native,,,,,,,,,,,,,3
досуг,2,,,ра́гIир,native,,,,,,,тIо'лъилайе,native,,,,,,,РÉГIИЙАР¹,native,3
доходить,1,Б/ÁЦIИ/ЛА2,native,б/а́цI/й,native,Б/АИ́,native,,,,,,,,,,,,,,,3
дочиста,1,,,,,,,,,,,цĪва'к/айе̄/гье,native,,,,,БА́С̅I̅АГЬИ,native,Б/ÁЦАЙГЬО,native,3
драгоценный,1,X̄АЗ́ИНА,arab,ххази́на,arab,,,,,,,х̄ази'на,arab,,,,,,,,,3
драчливый,1,,,,,РЕХЪВАБУ́,native,ТО'РЧ¯|ИᴴДО/Б,native,,,го'тIида/б/е,native,,,,,,,,,3
дрема,1,,,,,,,,,,,ха'лихьве,native,,,,,ЙЕХИЛ-ЗУМ,native,АКВÁРЛIĀЛИ,native,3
дремать,1,ГЪАП́УЛГЬИ/ЛА,arab,гъапул/и́,arab,,,КЬИГЬАᴴКВ/А'ЛЪА,native,,,,,,,,,,,,,3
дробить,1,,,гъурд/и́,native,ГЪУРДИ́,native,,,,,,,,,,,,,ГЪАГЪУ́РИГЬ/ИЛЪ’А,native,3
дрожащий,1,,,,,,,Т|Е'Т|ЕРДО/Б,native,,,гъе'рида/б/е,native,ЧӀИРЧӀИЛ,native,,,,,,,3
дружить,1,,,в/а́къу-вукI/и́,native,Б/АКЪУ́-Б/АКIУ́,native,,,гьуду́ллъун ву́кIи,native,,,,,,,,,,,3
дружный,1,РАКЪ́У/Б,native,,,,,,,ракъа́л,native,,,,,,,,,РАКЪУ́/Б,native,3
дрянной,1,МА̄Л̄Ъ́ИКЪА/Б,native,,,,,,,,,ма'лъ̄укъеда/б/е,native,,,,,,,МАЛЪ̅И́КЪА/Б,native,3
дуга,1,БÉЩУЛ,native,,,,,,,,,,,,,,,ДЖИДИ́Л,native,К̅’ИРÁᴴГЪУ,native,3
дуга-ошейник,1,,,,,,,РЕ'ГЬАМО,native,,,ге'де,native,,,,,,,Г’ЕЙÉР,native,3
дутье,1,П́УДАР,native,,,,,,,,,гьу'йе,native,,,,,,,ПĀР,native,3
духовный,1,РУХIАН́ИЙА/Б,native,рухIани́йа/б,arab,РУХIÁНИЙА/Б,arab,,,,,,,,,,,,,,,3
душевная рана,1,Áᴴ̄Л̄ЪА,native,,,,,,,,,дигъи',native,,,,,А́ᴴЛ̅Ъ̅А,native,,,3
душевное беспокойство,1,́УРГЪИЛ,native,,,,,,,,,,,,,,,УРГЪИЛ,native,У́ГЪАЛ,native,3
дымоход,1,,,,,МАЩУ́,native,,,ма́рщу,native,,,,,,,,,ÁЛА²,native,3
дыня,2,,,пастIа́н,native,,,,,пастIа́н,native,пас̄тIаᴴ',native,,,,,,,,,3
дышать,1,,,,,,,,,ганди́,native,ас̄ирехъу'/рулъIа,native,ПУРХЕШДУ,native,,,,,,,3
дьявол,2,,,малгIу́н,arab,,,МАЛГ|У'Н,arab,,,щеᴴ̄'тIа,arab,,,,,,,,,3
дядя,1,,,,,,,А'Ц¯И,native,,,,,,,,,ВАЦ,native,ВÁЦ̄И,native,3
едва,1,,,,,КОТТÉ-КОТТЕ,native,,,хIала́ди,native,хIалашала'лIи,native,,,,,,,,,3
ежевика,1,,,чIчIа́тIу,native,ЧIАБТIИ́,native,Ч|ЕРТЕ',native,,,,,,,,,,,,,3
ей-богу,2,,,ва́лла-билла,arab,ВАЛЛÁГЬИ,arab,,,ва́лай гIази́мгьа,arab,,,,,,,,,,,3
